"id","rate","titletype","title","canRate","releaseDate","runningTimeInMinutes"
"tt4430212","8.2","movie","Drishyam","true","2015-07-31","163"
"tt0094737","7.3","movie","Big","true","1988-06-03","104"
"tt0019254","8.1","movie","The Passion of Joan of Arc","true","1929-03-28","110"
"tt0918940","6.2","movie","The Legend of Tarzan","true","2016-07-01","110"
"tt4701182","6.8","movie","Bumblebee","true","2018-12-21","114"
"tt4729430","8.2","movie","Klaus","true","2019-11-15","96"
"tt0046438","8.2","movie","Tokyo Story","true","1972-03-13","136"
"tt0485947","7.8","movie","Mr. Nobody","true","2013-09-26","141"
"tt0113118","7.3","movie","Friday","true","1995-04-26","91"
"tt1179933","7.2","movie","10 Cloverfield Lane","true","2016-03-11","103"
"tt0055031","8.2","movie","Judgment at Nuremberg","true","1961-12-19","179"
"tt0203009","7.6","movie","Moulin Rouge!","true","2001-06-01","127"
"tt0112384","7.6","movie","Apollo 13","true","1995-06-30","140"
"tt0117951","8.1","movie","Trainspotting","true","1996-08-09","93"
"tt0082971","8.4","movie","Raiders of the Lost Ark","true","1981-06-12","115"
"tt0435761","8.3","movie","Toy Story 3","true","2010-06-18","103"
"tt0080678","8.1","movie","The Elephant Man","true","1980-10-10","124"
"tt1305806","8.2","movie","The Secret in Their Eyes","true","2010-05-21","129"
"tt6966692","8.2","movie","Green Book","true","2018-11-16","130"
"tt0457430","8.2","movie","Pan's Labyrinth","true","2007-01-19","118"
"tt0042192","8.2","movie","All About Eve","true","1950-10-27","138"
"tt0363163","8.2","movie","Downfall","true","2005-04-08","156"
"tt0758758","8.1","movie","Into the Wild","true","2007-10-19","148"
"tt1979320","8.1","movie","Rush","true","2013-09-27","123"
"tt7126948","5.8","movie","Wonder Woman 1984","true","2020-12-25","151"
"tt0034583","8.5","movie","Casablanca","true","1943-01-23","102"
"tt0056592","8.2","movie","To Kill a Mockingbird","true","1963-03-16","129"
"tt0113247","8.1","movie","La Haine","true","1996-02-23","98"
"tt0080684","8.7","movie","Star Wars: Episode V - The Empire Strikes Back","true","1980-06-20","124"
"tt2674426","7.4","movie","Me Before You","true","2016-06-03","106"
"tt1291584","8.2","movie","Warrior","true","2011-09-09","140"
"tt0057565","8.4","movie","High and Low","true","1963-11-26","143"
"tt1843866","7.7","movie","Captain America: The Winter Soldier","true","2014-04-04","136"
"tt1103153","5.5","movie","Killers","true","2010-06-04","100"
"tt0045592","6.8","movie","Call Me Madam","true","1953-03-25","114"
"tt0432021","6.3","movie","Resident Evil: Extinction","true","2007-09-21","94"
"tt0173840","6.4","movie","Final Fantasy: The Spirits Within","true","2001-07-11","106"
"tt1528071","6.5","movie","Horns","true","2014-10-03","120"
"tt1130884","8.2","movie","Shutter Island","true","2010-02-19","138"
"tt0489099","6.1","movie","Jumper","true","2008-02-14","88"
"tt0114746","8.0","movie","12 Monkeys","true","1996-01-05","129"
"tt0405094","8.4","movie","The Lives of Others","true","2007-03-30","137"
"tt1049413","8.2","movie","Up","true","2009-05-29","96"
"tt0482571","8.5","movie","The Prestige","true","2006-10-20","130"
"tt0057115","8.2","movie","The Great Escape","true","1963-07-04","172"
"tt0035446","8.2","movie","To Be or Not to Be","true","1942-03-06","99"
"tt6911608","6.6","movie","Mamma Mia! Here We Go Again","true","2018-07-20","114"
"tt0036775","8.3","movie","Double Indemnity","true","1944-07-06","107"
"tt0185431","5.3","movie","Little Nicky","true","2000-11-10","90"
"tt0409459","7.6","movie","Watchmen","true","2009-03-06","162"
"tt0346631","6.7","movie","Blood and Bone","true","2009-09-15","93"
"tt0455590","7.7","movie","The Last King of Scotland","true","2007-01-19","123"
"tt3835080","5.1","movie","31","true","2016-09-16","102"
"tt7286456","8.5","movie","Joker","true","2019-10-04","122"
"tt1226837","7.3","movie","Beautiful Boy","true","2018-09-30","120"
"tt0050825","8.4","movie","Paths of Glory","true","1957-12-25","88"
"tt1261945","4.5","movie","Sex and the City 2","true","2010-05-27","146"
"tt4572514","7.4","movie","Patriots Day","true","2017-01-13","133"
"tt0092005","8.1","movie","Stand by Me","true","1986-08-22","89"
"tt0469494","8.2","movie","There Will Be Blood","true","2008-01-25","158"
"tt1392190","8.1","movie","Mad Max: Fury Road","true","2015-05-15","120"
"tt0112573","8.3","movie","Braveheart","true","1995-05-24","178"
"tt1587310","7.0","movie","Maleficent","true","2014-05-30","97"
"tt0083658","8.1","movie","Blade Runner","true","1982-06-25","117"
